"Num_Acc","date","lat","long","categorie","v_max","plan","largeur_TPC","largeur_chaussée","etat_surface","Aménagement","Situation_accident","dep"
"202100045877","2021-04-01T00:00:00.000000","   45.753107","   -0.338902","Route Départementale","          80","En courbe à droite","           0","          57","Normale","Aucun","Sur accotement","          16"
"202100046452","2021-03-27T00:00:00.000000","   45.863548","    0.182133","Route Départementale","          50","Partie rectiligne","           0","           7","Normale","Aucun","Sur chaussée","          16"
"202100046472","2021-03-27T00:00:00.000000","   45.728158","    0.110314","Route Départementale","          80","En courbe à droite","           0","          36","Normale","Aucun","Sur accotement","          16"
"202100046837","2021-03-25T00:00:00.000000","   45.861538","    0.461552","Route Départementale","          70","En S","           0","          36","Normale","Aucun","Sur accotement","          16"
"202100047867","2021-03-16T00:00:00.000000","   46.012883","    0.671024","Route Départementale","          50","En courbe à gauche","           0","          26","Normale","Aucun","Sur chaussée","          16"
"202100048333","2021-03-12T00:00:00.000000","   45.680182","    0.503279","Route Départementale","          80","Partie rectiligne","           0","          56","Normale","Aucun","Sur accotement","          16"
"202100048479","2021-03-09T00:00:00.000000","  45.2757661","    0.051798","Voie Communales","          50","Partie rectiligne","          37","           0","Normale","Aucun","Sur chaussée","          16"
"202100048633","2021-03-11T00:00:00.000000","    45.62368","    0.282898","Route Départementale","          80","En courbe à gauche","           0","          44","Mouillée","Aucun","Sur accotement","          16"
"202100049317","2021-03-05T00:00:00.000000","   46.101945","    0.466461","Route Départementale","          80","Partie rectiligne","           0","           5","Normale","Aucun","Sur chaussée","          16"
"202100049651","2021-03-01T00:00:00.000000","    45.64935","     0.15954","Voie Communales","          50","En courbe à gauche","          28","           0","Normale","Aucun","Sur chaussée","          16"
"202100050039","2021-02-26T00:00:00.000000","   45.681407","    -0.32858","Route Départementale","          50","En courbe à gauche","           4","           6","Normale","Carrefour aménagé","Sur chaussée","          16"
"201900054404","2019-05-15T00:00:00.000000","   45.783617","    0.343525","Route Départementale","          80","Partie rectiligne","           0","         6.4","Normale","Aucun","Sur chaussée","          16"
"202100050522","2021-02-23T00:00:00.000000","   46.007119","    0.640284","Route Départementale","          90","Partie rectiligne","           0","          13","Normale","Carrefour aménagé","Sur chaussée","          16"
"202100050708","2021-02-21T00:00:00.000000","   45.678923","   -0.046574","Route nationale","          80","Partie rectiligne","           0","           7","Normale","Aucun","Sur chaussée","          16"
"202100050820","2021-02-19T00:00:00.000000","   45.277121","    0.188892","Route Départementale","          80","Partie rectiligne","           0","          44","Normale","Aucun","Autres","          16"
"202100050910","2021-02-19T00:00:00.000000","   45.693834","   -0.347862","Route nationale","          50","En courbe à gauche","          40","          75","Normale","Aucun","Sur chaussée","          16"
"202100051354","2021-02-16T00:00:00.000000","    45.92383","    0.754589","Route Départementale","          80","En courbe à gauche","           0","          62","Autre","Aucun","Sur chaussée","          16"
"202100051622","2021-02-14T00:00:00.000000","   45.879134","    0.565791","Route nationale","          70","Partie rectiligne","           0","           7","Normale","Aucun","Sur chaussée","          16"
"202100052177","2021-02-08T00:00:00.000000","   45.762381","    0.202968","Route Départementale","          80","En courbe à droite","           0","          38","Mouillée","Aucun","Sur accotement","          16"
"202100052942","2021-01-18T00:00:00.000000","   45.566768","    0.019741","Route nationale","          90","Partie rectiligne","         125","          14","Normale","Aucun","Sur chaussée","          16"
"202100053797","2021-01-26T00:00:00.000000","   45.873517","    0.812666","Route Départementale","          30","Partie rectiligne","           8","          56","Normale","Pont - autopont","Autres","          16"
"202100054638","2021-01-19T00:00:00.000000","   45.944406","    0.866375","Route Départementale","          70","Partie rectiligne","           0","          56","Normale","Aucun","Sur chaussée","          16"
"202100054704","2021-01-17T00:00:00.000000","   46.074135","    0.102825","Voie Communales","          50","Partie rectiligne","           0","          29","Normale","Aucun","Sur accotement","          16"
"202100055052","2021-01-14T00:00:00.000000","    45.62939","     0.13829","Route Départementale","          70","Partie rectiligne","           0","         105","Normale","Aucun","Sur chaussée","          16"
"202100055095","2021-01-15T00:00:00.000000","   45.611749","    -0.22956","Route Départementale","          80","Partie rectiligne","           0","          54","Normale","Aucun","Sur accotement","          16"
